company_id,metric_type,period_years,value_pct
1,compounded_sales_growth,10,13.6
1,compounded_sales_growth,5,14.8
1,compounded_sales_growth,3,13.1
1,compounded_profit_growth,10,26.9
1,compounded_profit_growth,5,28.1
1,compounded_profit_growth,3,26.4
1,stock_price_cagr,10,21.8
1,stock_price_cagr,5,23.0
1,stock_price_cagr,3,21.3
1,roe,10,18.8
1,roe,5,20.0
1,roe,3,18.3
2,compounded_sales_growth,10,8.6
2,compounded_sales_growth,5,9.8
2,compounded_sales_growth,3,8.1
2,compounded_profit_growth,10,8.6
2,compounded_profit_growth,5,9.8
2,compounded_profit_growth,3,8.1
2,stock_price_cagr,10,6.3
2,stock_price_cagr,5,7.5
2,stock_price_cagr,3,5.8
2,roe,10,24.9
2,roe,5,26.1
2,roe,3,24.4
3,compounded_sales_growth,10,18.8
3,compounded_sales_growth,5,20.0
3,compounded_sales_growth,3,18.3
3,compounded_profit_growth,10,21.3
3,compounded_profit_growth,5,22.5
3,compounded_profit_growth,3,20.8
3,stock_price_cagr,10,5.5
3,stock_price_cagr,5,6.7
3,stock_price_cagr,3,5.0
3,roe,10,27.3
3,roe,5,28.5
3,roe,3,26.8
4,compounded_sales_growth,10,24.1
4,compounded_sales_growth,5,25.3
4,compounded_sales_growth,3,23.6
4,compounded_profit_growth,10,9.9
4,compounded_profit_growth,5,11.1
4,compounded_profit_growth,3,9.4
4,stock_price_cagr,10,9.2
4,stock_price_cagr,5,10.4
4,stock_price_cagr,3,8.7
4,roe,10,9.2
4,roe,5,10.4
4,roe,3,8.7
5,compounded_sales_growth,10,12.0
5,compounded_sales_growth,5,13.2
5,compounded_sales_growth,3,11.5
5,compounded_profit_growth,10,17.1
5,compounded_profit_growth,5,18.3
5,compounded_profit_growth,3,16.6
5,stock_price_cagr,10,14.9
5,stock_price_cagr,5,16.1
5,stock_price_cagr,3,14.4
5,roe,10,11.7
5,roe,5,12.9
5,roe,3,11.2
6,compounded_sales_growth,10,19.1
6,compounded_sales_growth,5,20.3
6,compounded_sales_growth,3,18.6
6,compounded_profit_growth,10,8.2
6,compounded_profit_growth,5,9.4
6,compounded_profit_growth,3,7.7
6,stock_price_cagr,10,11.7
6,stock_price_cagr,5,12.9
6,stock_price_cagr,3,11.2
6,roe,10,13.4
6,roe,5,14.6
6,roe,3,12.9
7,compounded_sales_growth,10,15.5
7,compounded_sales_growth,5,16.7
7,compounded_sales_growth,3,15.0
7,compounded_profit_growth,10,23.1
7,compounded_profit_growth,5,24.3
7,compounded_profit_growth,3,22.6
7,stock_price_cagr,10,9.6
7,stock_price_cagr,5,10.8
7,stock_price_cagr,3,9.1
7,roe,10,16.8
7,roe,5,18.0
7,roe,3,16.3
8,compounded_sales_growth,10,18.6
8,compounded_sales_growth,5,19.8
8,compounded_sales_growth,3,18.1
8,compounded_profit_growth,10,6.1
8,compounded_profit_growth,5,7.3
8,compounded_profit_growth,3,5.6
8,stock_price_cagr,10,19.0
8,stock_price_cagr,5,20.2
8,stock_price_cagr,3,18.5
8,roe,10,8.9
8,roe,5,10.1
8,roe,3,8.4
9,compounded_sales_growth,10,6.5
9,compounded_sales_growth,5,7.7
9,compounded_sales_growth,3,6.0
9,compounded_profit_growth,10,26.8
9,compounded_profit_growth,5,28.0
9,compounded_profit_growth,3,26.3
9,stock_price_cagr,10,27.2
9,stock_price_cagr,5,28.4
9,stock_price_cagr,3,26.7
9,roe,10,23.6
9,roe,5,24.8
9,roe,3,23.1
10,compounded_sales_growth,10,12.0
10,compounded_sales_growth,5,13.2
10,compounded_sales_growth,3,11.5
10,compounded_profit_growth,10,7.2
10,compounded_profit_growth,5,8.4
10,compounded_profit_growth,3,6.7
10,stock_price_cagr,10,20.7
10,stock_price_cagr,5,21.9
10,stock_price_cagr,3,20.2
10,roe,10,15.1
