company_id,year,pattern
1,2024,Capital Returner
2,2024,Deleverager
3,2024,Reinvestor
4,2024,Balanced Allocator
5,2024,Reinvestor
6,2024,Reinvestor
7,2024,Distress Signal
8,2024,Reinvestor
9,2024,Balanced Allocator
10,2024,Capital Returner
11,2024,Reinvestor
12,2024,Capital Returner
13,2024,Deleverager
14,2024,Stagnant Capital
15,2024,Conservative Accumulator
16,2024,Balanced Allocator
17,2024,Aggressive Acquirer
18,2024,Capital Returner
19,2024,Reinvestor
20,2024,Balanced Allocator
21,2024,Reinvestor
22,2024,Reinvestor
23,2024,Capital Returner
24,2024,Balanced Allocator
25,2024,Deleverager
26,2024,Conservative Accumulator
27,2024,Distress Signal
28,2024,Balanced Allocator
29,2024,Conservative Accumulator
30,2024,Balanced Allocator
31,2024,Aggressive Acquirer
32,2024,Capital Returner
33,2024,Reinvestor
34,2024,Deleverager
35,2024,Conservative Accumulator
36,2024,Deleverager
37,2024,Reinvestor
38,2024,Reinvestor
39,2024,Balanced Allocator
40,2024,Reinvestor
41,2024,Capital Returner
42,2024,Balanced Allocator
43,2024,Balanced Allocator
44,2024,Conservative Accumulator
45,2024,Reinvestor
46,2024,Reinvestor
47,2024,Reinvestor
48,2024,Reinvestor
49,2024,Balanced Allocator
50,2024,Deleverager
51,2024,Capital Returner
52,2024,Reinvestor
53,2024,Deleverager
54,2024,Balanced Allocator
55,2024,Reinvestor
56,2024,Reinvestor
57,2024,Conservative Accumulator
58,2024,Reinvestor
59,2024,Distress Signal
60,2024,Balanced Allocator
61,2024,Conservative Accumulator
62,2024,Capital Returner
63,2024,Reinvestor
64,2024,Aggressive Acquirer
65,2024,Balanced Allocator
66,2024,Capital Returner
67,2024,Aggressive Acquirer
68,2024,Balanced Allocator
69,2024,Capital Returner
70,2024,Stagnant Capital
71,2024,Reinvestor
72,2024,Balanced Allocator
73,2024,Balanced Allocator
74,2024,Balanced Allocator
75,2024,Reinvestor
76,2024,Reinvestor
77,2024,Balanced Allocator
78,2024,Capital Returner
79,2024,Deleverager
80,2024,Reinvestor
81,2024,Capital Returner
82,2024,Deleverager
83,2024,Capital Returner
84,2024,Deleverager
85,2024,Distress Signal
86,2024,Deleverager
87,2024,Balanced Allocator
88,2024,Reinvestor
89,2024,Balanced Allocator
90,2024,Stagnant Capital
91,2024,Balanced Allocator
92,2024,Reinvestor
1,2025,Capital Returner
2,2025,Deleverager
3,2025,Deleverager
4,2025,Balanced Allocator
5,2025,Reinvestor
6,2025,Reinvestor
7,2025,Deleverager
8,2025,Reinvestor
9,2025,Balanced Allocator
10,2025,Capital Returner
11,2025,Reinvestor
12,2025,Capital Returner
13,2025,Stagnant Capital
14,2025,Stagnant Capital
15,2025,Conservative Accumulator
16,2025,Reinvestor
17,2025,Aggressive Acquirer
18,2025,Conservative Accumulator
19,2025,Reinvestor
20,2025,Balanced Allocator
21,2025,Reinvestor
22,2025,Reinvestor
23,2025,Capital Returner
24,2025,Capital Returner
25,2025,Deleverager
26,2025,Conservative Accumulator
27,2025,Stagnant Capital
28,2025,Balanced Allocator
29,2025,Conservative Accumulator
30,2025,Balanced Allocator
31,2025,Aggressive Acquirer
32,2025,Capital Returner
33,2025,Capital Returner
34,2025,Stagnant Capital
35,2025,Conservative Accumulator
36,2025,Deleverager
37,2025,Reinvestor
38,2025,Reinvestor
39,2025,Balanced Allocator
40,2025,Reinvestor
41,2025,Capital Returner
42,2025,Balanced Allocator
43,2025,Aggressive Acquirer
44,2025,Conservative Accumulator
45,2025,Reinvestor
46,2025,Reinvestor
47,2025,Reinvestor
48,2025,Reinvestor
49,2025,Balanced Allocator
50,2025,Stagnant Capital
51,2025,Capital Returner
52,2025,Deleverager
53,2025,Deleverager
54,2025,Balanced Allocator
55,2025,Reinvestor
56,2025,Reinvestor
57,2025,Conservative Accumulator
58,2025,Reinvestor
59,2025,Distress Signal
60,2025,Distress Signal
61,2025,Balanced Allocator
62,2025,Capital Returner
63,2025,Reinvestor
64,2025,Aggressive Acquirer
65,2025,Balanced Allocator
66,2025,Capital Returner
67,2025,Aggressive Acquirer
68,2025,Balanced Allocator
69,2025,Reinvestor
70,2025,Stagnant Capital
71,2025,Reinvestor
72,2025,Balanced Allocator
73,2025,Balanced Allocator
74,2025,Balanced Allocator
75,2025,Reinvestor
76,2025,Reinvestor
77,2025,Balanced Allocator
78,2025,Capital Returner
79,2025,Balanced Allocator
80,2025,Conservative Accumulator
81,2025,Capital Returner
82,2025,Deleverager
83,2025,Reinvestor
84,2025,Deleverager
85,2025,Deleverager
86,2025,Deleverager
87,2025,Balanced Allocator
88,2025,Capital Returner
89,2025,Balanced Allocator
90,2025,Stagnant Capital
91,2025,Balanced Allocator
92,2025,Reinvestor
