company_id,cluster_id,cluster_name
1,0,High-Quality Compounders
2,0,High-Quality Compounders
3,0,High-Quality Compounders
4,2,Value Cyclicals
5,4,Emerging Growth
6,2,Value Cyclicals
7,0,High-Quality Compounders
8,2,Value Cyclicals
9,1,Defensive Dividend Payers
10,3,Distressed or Turnaround
11,4,Emerging Growth
12,2,Value Cyclicals
13,2,Value Cyclicals
14,4,Emerging Growth
15,4,Emerging Growth
16,4,Emerging Growth
17,1,Defensive Dividend Payers
18,0,High-Quality Compounders
19,4,Emerging Growth
20,2,Value Cyclicals
21,0,High-Quality Compounders
22,0,High-Quality Compounders
23,2,Value Cyclicals
24,3,Distressed or Turnaround
25,2,Value Cyclicals
26,4,Emerging Growth
27,4,Emerging Growth
28,2,Value Cyclicals
29,3,Distressed or Turnaround
30,2,Value Cyclicals
31,4,Emerging Growth
32,1,Defensive Dividend Payers
33,3,Distressed or Turnaround
34,2,Value Cyclicals
35,2,Value Cyclicals
36,3,Distressed or Turnaround
37,2,Value Cyclicals
38,4,Emerging Growth
39,0,High-Quality Compounders
40,0,High-Quality Compounders
41,1,Defensive Dividend Payers
42,2,Value Cyclicals
43,2,Value Cyclicals
44,4,Emerging Growth
45,3,Distressed or Turnaround
46,0,High-Quality Compounders
47,2,Value Cyclicals
48,2,Value Cyclicals
49,4,Emerging Growth
50,2,Value Cyclicals
51,4,Emerging Growth
52,0,High-Quality Compounders
53,0,High-Quality Compounders
54,3,Distressed or Turnaround
55,1,Defensive Dividend Payers
56,2,Value Cyclicals
57,2,Value Cyclicals
58,3,Distressed or Turnaround
59,0,High-Quality Compounders
60,2,Value Cyclicals
61,1,Defensive Dividend Payers
62,0,High-Quality Compounders
63,2,Value Cyclicals
64,3,Distressed or Turnaround
65,2,Value Cyclicals
66,3,Distressed or Turnaround
67,0,High-Quality Compounders
68,1,Defensive Dividend Payers
69,1,Defensive Dividend Payers
70,3,Distressed or Turnaround
71,2,Value Cyclicals
72,0,High-Quality Compounders
73,4,Emerging Growth
74,2,Value Cyclicals
75,0,High-Quality Compounders
76,2,Value Cyclicals
77,1,Defensive Dividend Payers
78,1,Defensive Dividend Payers
79,1,Defensive Dividend Payers
80,0,High-Quality Compounders
81,2,Value Cyclicals
82,4,Emerging Growth
83,4,Emerging Growth
84,1,Defensive Dividend Payers
85,1,Defensive Dividend Payers
86,3,Distressed or Turnaround
87,0,High-Quality Compounders
88,2,Value Cyclicals
89,4,Emerging Growth
90,4,Emerging Growth
91,0,High-Quality Compounders
92,4,Emerging Growth
